Store ID,IP Address
0001,10.11.151.1
0002,10.11.152.1
0003,10.11.153.1
0004,10.11.154.1
0007,10.11.72.1
0008,10.11.157.1
0009,10.10.15.1
0010,10.11.158.1
0014,10.11.161.1
0015,10.10.1.1
0016,10.10.2.1
0018,10.10.5.1
0019,10.11.162.1
0020,10.11.164.1
0028,10.11.169.1
0029,10.11.170.1
0030,10.11.171.1
0036,10.11.177.1
0038,10.10.3.1
0039,10.11.178.1
0042,10.11.180.1
0043,10.11.181.1
0044,10.11.182.1
0045,10.11.183.1
0046,10.11.184.1
0049,10.11.186.1
0052,10.11.187.1
0053,10.11.188.1
0054,10.11.189.1
0056,10.11.190.1
0060,10.11.191.1
0061,10.11.192.1
0062,10.11.193.1
0066,10.11.195.1
0067,10.11.97.1
0070,10.11.197.1
0073,10.11.31.1
0076,10.11.200.1
0081,10.11.204.1
0082,10.11.205.1
0084,10.11.206.1
0089,10.11.210.1
0090,10.11.211.1
0094,10.11.213.1
0095,10.11.214.1
0097,10.11.216.1
0099,10.11.118.1
0102,10.11.219.1
0104,10.11.221.1
0106,10.10.107.1
0109,10.11.146.1
0110,10.11.225.1
0111,10.11.226.1
0113,10.11.227.1
0114,10.11.228.1
0115,10.11.229.1
0117,10.11.231.1
0118,10.11.232.1
0120,10.11.233.1
0121,10.10.192.1
0123,10.11.235.1
0127,10.11.239.1
0129,10.11.240.1
0131,10.11.241.1
0132,10.11.242.1
0134,10.11.243.1
0137,10.10.138.1
0138,10.11.245.1
0139,10.11.246.1
0140,10.11.247.1
0141,10.11.248.1
0143,10.11.249.1
0144,10.11.250.1
0145,10.11.251.1
0147,10.12.1.1
0148,10.12.2.1
0150,10.12.3.1
0151,10.12.4.1
0152,10.12.5.1
0154,10.10.89.1
0157,10.12.8.1
0158,10.12.9.1
0159,10.12.10.1
0160,10.11.117.1
0161,10.10.217.1
0162,10.12.11.1
0164,10.12.13.1
0165,10.12.14.1
0166,10.12.15.1
0167,10.12.16.1
0169,10.12.17.1
0570,10.18.253.1
2001,10.15.1.1
2002,10.15.2.1
2003,10.15.3.1
2004,10.15.4.1
2005,10.15.5.1
2006,10.15.6.1
2007,10.15.7.1
2008,10.15.8.1
2009,10.15.9.1
2010,10.15.10.1
2012,10.15.12.1
2013,10.15.13.1
2014,10.15.14.1
2015,10.15.15.1
2016,10.15.16.1
2017,10.15.17.1
2018,10.15.18.1
2019,10.15.19.1
2021,10.15.21.1
2022,10.15.22.1
2023,10.15.23.1
2024,10.15.24.1
2025,10.15.25.1
2026,10.15.26.1
2027,10.15.27.1
2028,10.15.28.1
2032,10.15.55.1
2033,10.15.33.1
2034,10.15.56.1
2035,10.15.35.1
2038,10.15.38.1
2039,10.15.39.1
2040,10.15.40.1
2041,10.15.41.1
2042,10.15.42.1
2043,10.15.43.1
2045,10.15.45.1
2046,10.15.46.1
2047,10.15.47.1
2049,10.15.49.1
2050,10.15.50.1
2051,10.15.51.1
